Rank;Mountain Peak;State;Mountain Range;Elevation;Elevation_m;Prominence;Prominence_m;Isolation;Isolation_m;Lat;Long;Climbed;
1;Denali; Alaska;Alaska Range;20310;6190.5;20146;6141;7450.24;;63.0690;-151.0063;No;
2;Mauna Kea; Hawaii;Island of Hawaiʻi;13803;4207.3;13803;4207;3947.00;;19.8207;-155.4681;No;
3;Mount Rainier; Washington;Cascade Range;14417;4394;13210;4026;1176.72;;46.8529;-121.7604;No;
4;Mount Fairweathe (Fairweather Mountain); Alaska British Columbia;Saint Elias Mountains;15325;4671;12995;3961;124.4;200;58.9064;-137.5265;No;
5;Mount Blackburn; Alaska;Wrangell Mountains;16390;4996;11640;3548;60.7;97.6;61.7305;-143.4031;No;
6;Mount Hayes; Alaska;Alaska Range;13832;4216;11507;3507;125.5;202;63.6203;-146.7178;No;
7;Mount Saint Elias; Alaska Yukon;Saint Elias Mountains;18009;5489;11250;3429;25.6;41.3;60.2927;-140.9307;No;
8;Mount Marcus Baker; Alaska;Chugach Mountains;13176;4016;10751;3277;126.3;203;61.4374;-147.7525;No;
9;Mount Whitney; California;Sierra Nevada;14505;4421;10080;3072;2649.47;;36.5786;-118.2920;No;
10;Haleakalā; Hawaii;Island of Maui;10023;3055;10023;3055;76.3;122.9;20.7097;-156.2533;No;
11;Mount Shasta; California;Cascade Range;14179;4321.8;9772;2979;335;539;41.4092;-122.1949;No;
12;Shishaldin Volcano; Alaska;Unimak Island;9414;2869;9414;2869;545;877;54.7554;-163.9709;No;
13;Redoubt Volcano; Alaska;Chigmit Mountains;10197;3108;9147;2788;58.7;94.5;60.4854;-152.7442;No;
14;Mount Elbert; Colorado;Sawatch Range;14440;4401.2;9093;2772;1079.15;;39.1178;-106.4454;No;
15;Mount Baker; Washington;Cascade Range;10786;3287;8845;2696;131.5;212;48.7768;-121.8145;No;
16;Mount Torbert; Alaska;Alaska Range;11413;3479;8688;2648;97.7;157.3;61.4086;-152.4125;No;
17;San Jacinto Peak; California;San Jacinto Mountains;10834;3302.3;8339;2542;20.3;32.7;33.8147;-116.6794;Yes;
18;San Gorgonio Mountain; California;San Bernardino Mountains;11503;3506;8294;2528;162.5;262;34.0992;-116.8249;Yes;
19;Charleston Pea (Mount Charleston); Nevada;Spring Mountains;11916;3632;8258;2517;135.1;218;36.2716;-115.6956;Yes;
